RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	SOS SEASON	ECR VS. ADP
381	12	Matt Breida	SF	RB106	9	2 out of 5 stars	-
382	12	Parker Washington	JAC	WR135	12	4 out of 5 stars	-
383	12	John Metchie III	HOU	WR136	14	3 out of 5 stars	-
384	12	Nyheim Hines	CLE	RB107	10	4 out of 5 stars	-
385	12	Carolina Panthers	CAR	DST29	11	4 out of 5 stars	-
386	12	Chase McLaughlin	TB	K22	11	3 out of 5 stars	-33
387	12	Mack Hollins	BUF	WR137	12	2 out of 5 stars	-
388	12	Cade Stover	HOU	TE52	14	2 out of 5 stars	-
389	12	Keaontay Ingram	KC	RB108	6	3 out of 5 stars	-
390	12	Trenton Irwin	CIN	WR138	12	2 out of 5 stars	-
391	12	Davis Allen	LAR	TE53	6	3 out of 5 stars	-
392	12	KaVontae Turpin	DAL	WR139	7	3 out of 5 stars	-
